lat,lon,chlorophyll_a
2.0,58.0,0.089
2.0,59.0,0.106
2.0,60.0,0.107
2.0,61.0,0.119
2.0,62.0,0.112
2.0,63.0,0.092
2.0,64.0,0.143
2.0,65.0,0.123
2.0,66.0,0.136
2.0,67.0,0.137
2.0,68.0,0.183
2.0,69.0,0.243
2.0,70.0,0.417
2.0,71.0,0.525
2.0,72.0,0.524
2.0,73.0,0.514
2.0,74.0,0.378
2.0,75.0,0.292
2.0,76.0,0.169
2.0,77.0,0.148
2.0,78.0,0.13
2.0,79.0,0.154
2.0,80.0,0.27
2.0,81.0,0.41
2.0,82.0,0.448
2.0,83.0,0.412
2.0,84.0,0.297
2.0,85.0,0.224
2.0,86.0,0.161
2.0,87.0,0.159
2.0,88.0,0.125
2.0,89.0,0.11
2.0,90.0,0.128
2.0,91.0,0.111
2.0,92.0,0.1
2.0,93.0,0.131
2.0,94.0,0.117
2.0,95.0,0.099
2.0,96.0,0.106
2.0,97.0,0.098
2.0,98.0,0.094
2.0,99.0,0.095
2.0,100.0,0.104
3.0,58.0,0.129
3.0,59.0,0.116
3.0,60.0,0.106
3.0,61.0,0.125
3.0,62.0,0.131
3.0,63.0,0.107
3.0,64.0,0.108
3.0,65.0,0.116
3.0,66.0,0.161
3.0,67.0,0.162
3.0,68.0,0.206
3.0,69.0,0.258
3.0,70.0,0.357
3.0,71.0,0.49
3.0,72.0,0.543
3.0,73.0,0.459
3.0,74.0,0.405
3.0,75.0,0.242
3.0,76.0,0.223
3.0,77.0,0.167
3.0,78.0,0.163
3.0,79.0,0.221
3.0,80.0,0.332
3.0,81.0,0.397
3.0,82.0,0.48
3.0,83.0,0.396
3.0,84.0,0.26
3.0,85.0,0.23
3.0,86.0,0.127
3.0,87.0,0.112
3.0,88.0,0.127
3.0,89.0,0.13
3.0,90.0,0.144
3.0,91.0,0.179
3.0,92.0,0.118
3.0,93.0,0.089
3.0,94.0,0.114
3.0,95.0,0.127
3.0,96.0,0.131
3.0,97.0,0.13
3.0,98.0,0.155
3.0,99.0,0.139
3.0,100.0,0.115
4.0,58.0,0.147
4.0,59.0,0.136
4.0,60.0,0.12
4.0,61.0,0.137
4.0,62.0,0.16
4.0,63.0,0.124
4.0,64.0,0.106
4.0,65.0,0.127
4.0,66.0,0.133
4.0,67.0,0.175
4.0,68.0,0.171
4.0,69.0,0.279
4.0,70.0,0.406
4.0,71.0,0.51
4.0,72.0,0.566
4.0,73.0,0.498
4.0,74.0,0.366
4.0,75.0,0.279
4.0,76.0,0.177
4.0,77.0,0.128
4.0,78.0,0.154
4.0,79.0,0.189
4.0,80.0,0.29
4.0,81.0,0.403
4.0,82.0,0.434
4.0,83.0,0.406
4.0,84.0,0.278
4.0,85.0,0.235
4.0,86.0,0.165
4.0,87.0,0.117
4.0,88.0,0.102
4.0,89.0,0.13
4.0,90.0,0.108
4.0,91.0,0.093
4.0,92.0,0.128
4.0,93.0,0.118
4.0,94.0,0.133
4.0,95.0,0.127
4.0,96.0,0.165
4.0,97.0,0.113
4.0,98.0,0.11
4.0,99.0,0.088
4.0,100.0,0.158
5.0,58.0,0.134
5.0,59.0,0.134
5.0,60.0,0.149
5.0,61.0,0.145
5.0,62.0,0.114
5.0,63.0,0.122
5.0,64.0,0.156
5.0,65.0,0.153
5.0,66.0,0.124
5.0,67.0,0.152
5.0,68.0,0.206
5.0,69.0,0.256
5.0,70.0,0.403
5.0,71.0,0.441
5.0,72.0,0.541
5.0,73.0,0.529
5.0,74.0,0.369
5.0,75.0,0.287
5.0,76.0,0.198
5.0,77.0,0.162
5.0,78.0,0.167
5.0,79.0,0.202
5.0,80.0,0.337
5.0,81.0,0.383
5.0,82.0,0.463
5.0,83.0,0.402
5.0,84.0,0.306
5.0,85.0,0.207
5.0,86.0,0.161
5.0,87.0,0.179
5.0,88.0,0.174
5.0,89.0,0.143
5.0,90.0,0.134
5.0,91.0,0.169
